City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
343,labrador city,52.9463,-66.9114,279.1,75,100,9.77,CA,1686078562
344,beckley,37.7782,-81.1882,297.14,51,40,2.57,US,1686078282
345,itoman,26.1247,127.6694,299.16,94,75,4.63,JP,1686078354
346,chinde,26.8418,88.0763,293.2,53,1,2.62,NP,1686078349
347,san antonio oeste,-40.7319,-64.9477,291.83,29,80,9.19,AR,1686078563
348,westport,41.1415,-73.3579,298.76,55,0,2.06,US,1686078342
349,erdaojiang,41.7764,126.0319,284.15,97,55,1.53,CN,1686078563
350,fort mcmurray,56.7268,-111.381,291.92,36,0,6.69,CA,1686078020
351,siloam springs,36.1881,-94.5405,304.93,48,40,1.54,US,1686078563
352,hilo,19.7297,-155.09,300.53,80,98,3.13,US,1686078182
353,papao,-17.75,-149.55,300.97,73,99,6.49,PF,1686078563
354,praia,14.9215,-23.5087,299.45,69,0,2.57,CV,1686078564
355,ouesso,1.6136,16.0517,299.05,75,100,0.6,CG,1686078564
356,ascoli piceno,42.8548,13.5749,293.29,80,29,0.73,IT,1686078564
357,castillos,-34.1667,-53.8333,293.08,56,100,3.03,UY,1686078339
358,baoro,5.6667,15.9667,295.28,87,73,1.99,CF,1686078564
359,cliza,-17.6,-65.9333,294.54,13,0,0.43,BO,1686078564
360,hovd,48.0056,91.6419,293.63,34,7,0.5,MN,1686078507
361,kingston,17.997,-76.7936,306.62,69,20,8.75,JM,1686078166
